date,region,latitude,longitude,operation_type,clima,umidade_solo,inclinacao,distancia_agua,velocidade,historico_sinistros,chuva_mm,solo_instavel,clima_code,operation_code,temperatura_c,umidade_ar,pressao_hpa,distancia_obstaculo,gps_accuracy_m,wind_speed_m_s,source,risk_score
20240222,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,11.42,91.82,16.61,2.5,3.37,0,4.0,0.0,24.26,82.49,931.5,6.52,6.0,1.85,NASA POWER Daily API,73.33
20240223,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,8.22,133.62,16.2,2.5,5.39,1,2.0,0.0,25.42,80.82,934.8,10.14,4.88,2.25,NASA POWER Daily API,91.64
20240224,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,2.91,5.0,6.24,2.5,6.09,1,2.0,0.0,25.15,82.78,938.3,5.59,14.37,2.64,NASA POWER Daily API,99.54
20240225,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,9.11,85.4,10.5,3.5,1.83,0,4.0,0.0,24.17,85.36,940.0,5.35,8.89,3.43,NASA POWER Daily API,64.81
20240226,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,16.31,138.96,18.16,4.5,2.4,1,4.0,0.0,23.67,86.76,938.1,6.28,3.23,4.32,NASA POWER Daily API,99.7
20240227,Guarulhos - SP,-23.455,-46.533,campo,garoa,89.12,10.13,212.25,13.58,2.5,0.59,0,4.0,0.0,25.39,79.6,934.2,11.37,4.18,2.79,NASA POWER Daily API,62.09
20240228,Guarulhos - SP,-23.455,-46.533,campo,garoa,57.25,6.93,5.0,5.11,2.5,1.34,0,4.0,0.0,26.0,77.54,933.5,17.3,3.33,3.56,NASA POWER Daily API,64.84
20240229,Guarulhos - SP,-23.455,-46.533,campo,garoa,55.85,6.26,325.74,13.6,2.5,2.94,0,4.0,0.0,24.72,85.68,934.8,11.49,2.1,2.34,NASA POWER Daily API,50.41
20240301,Guarulhos - SP,-23.455,-46.533,campo,garoa,71.01,7.72,187.22,13.04,2.5,4.29,0,4.0,0.0,23.88,86.3,934.3,3.84,8.12,3.5,NASA POWER Daily API,57.24
20240302,Guarulhos - SP,-23.455,-46.533,manutencao,garoa,51.51,5.16,233.54,7.06,2.5,0.69,0,4.0,3.0,22.09,80.66,935.7,4.85,11.03,3.75,NASA POWER Daily API,37.43
20240303,Guarulhos - SP,-23.455,-46.533,transporte,garoa,55.2,13.01,89.25,14.69,3.5,0.63,0,4.0,1.0,23.05,79.4,934.4,1.67,7.03,2.74,NASA POWER Daily API,64.72
20240304,Guarulhos - SP,-23.455,-46.533,campo,garoa,57.38,0.34,53.14,4.26,3.5,1.26,0,4.0,0.0,24.83,76.78,934.0,6.23,4.31,2.72,NASA POWER Daily API,44.5
20240305,Guarulhos - SP,-23.455,-46.533,transporte,chuva,68.3,4.77,180.08,21.15,3.5,6.97,0,2.0,1.0,25.18,77.56,934.4,9.79,15.17,3.05,NASA POWER Daily API,72.39
20240306,Guarulhos - SP,-23.455,-46.533,transporte,tempestade,100.0,5.59,32.26,10.26,3.5,26.13,1,3.0,1.0,22.9,89.18,936.2,3.18,4.76,3.34,NASA POWER Daily API,100.0
20240307,Guarulhos - SP,-23.455,-46.533,proximidade_agua,chuva,100.0,5.55,196.52,10.41,2.5,7.68,1,2.0,2.0,22.97,88.42,938.2,3.97,6.7,4.48,NASA POWER Daily API,88.29
20240308,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,7.78,142.27,6.77,2.5,9.88,1,2.0,0.0,23.58,86.48,937.2,1.86,10.33,3.2,NASA POWER Daily API,89.81
20240309,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,9.16,5.0,6.14,4.5,5.45,1,2.0,0.0,25.08,82.95,934.0,49.28,2.59,3.19,NASA POWER Daily API,100.0
20240310,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,13.16,16.1,12.48,3.5,5.37,1,2.0,0.0,24.43,84.83,934.3,4.94,2.0,4.36,NASA POWER Daily API,100.0
20240311,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,6.33,189.07,12.89,3.5,1.61,0,4.0,0.0,22.24,85.18,937.4,4.27,9.98,3.6,NASA POWER Daily API,63.44
20240312,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,9.73,184.85,13.93,2.5,0.72,0,4.0,0.0,21.47,82.89,937.9,12.32,2.8,2.65,NASA POWER Daily API,65.23
20240313,Guarulhos - SP,-23.455,-46.533,transporte,garoa,77.69,9.43,51.44,13.14,3.5,0.77,0,4.0,1.0,23.31,84.0,936.6,4.12,11.0,2.62,NASA POWER Daily API,71.1
20240314,Guarulhos - SP,-23.455,-46.533,proximidade_agua,garoa,71.88,8.86,67.33,10.07,2.5,0.41,0,4.0,2.0,25.04,80.49,935.3,5.0,10.48,2.44,NASA POWER Daily API,61.75
20240315,Guarulhos - SP,-23.455,-46.533,campo,garoa,42.31,13.15,336.69,10.17,2.5,0.07,0,4.0,0.0,26.34,76.17,933.0,5.5,4.23,2.9,NASA POWER Daily API,46.54
20240316,Guarulhos - SP,-23.455,-46.533,proximidade_agua,garoa,36.34,9.85,164.58,1.22,4.5,0.46,0,4.0,2.0,28.35,64.02,931.7,5.36,4.58,2.4,NASA POWER Daily API,38.86
20240317,Guarulhos - SP,-23.455,-46.533,transporte,garoa,38.36,8.53,86.81,26.79,2.5,4.35,0,4.0,1.0,27.57,71.13,932.9,36.04,2.7,3.29,NASA POWER Daily API,66.31
20240318,Guarulhos - SP,-23.455,-46.533,campo,chuva,63.4,5.22,135.08,16.68,2.5,6.48,0,2.0,0.0,25.56,83.56,933.8,1.48,4.91,2.02,NASA POWER Daily API,75.22
20240319,Guarulhos - SP,-23.455,-46.533,campo,garoa,61.53,7.74,5.0,4.36,3.5,3.12,0,4.0,0.0,25.16,85.72,933.2,0.65,7.63,1.93,NASA POWER Daily API,82.06
20240320,Guarulhos - SP,-23.455,-46.533,transporte,garoa,59.69,3.79,191.04,20.28,3.5,2.45,0,4.0,1.0,25.72,81.08,931.2,11.01,6.13,1.74,NASA POWER Daily API,59.11
20240321,Guarulhos - SP,-23.455,-46.533,transporte,garoa,65.63,10.0,226.4,16.44,4.5,1.8,0,4.0,1.0,27.29,73.34,931.3,4.69,7.65,4.25,NASA POWER Daily API,64.13
20240322,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,6.64,146.7,8.11,2.5,23.16,1,2.0,0.0,21.4,91.2,937.1,0.87,3.14,7.32,NASA POWER Daily API,100.0
20240323,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,4.92,42.21,10.0,2.5,9.12,1,2.0,0.0,19.09,88.22,940.0,5.85,2.81,5.94,NASA POWER Daily API,98.65
20240324,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,4.88,42.6,13.82,2.5,5.81,1,2.0,0.0,20.16,89.2,937.6,13.67,4.92,3.38,NASA POWER Daily API,100.0
20240325,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,7.96,102.09,6.44,2.5,0.77,0,4.0,0.0,21.5,86.23,935.1,14.17,4.08,2.48,NASA POWER Daily API,54.53
20240326,Guarulhos - SP,-23.455,-46.533,proximidade_agua,garoa,100.0,11.61,5.0,1.13,3.5,1.13,0,4.0,2.0,20.82,87.72,936.4,9.66,7.55,3.7,NASA POWER Daily API,83.95
20240327,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,9.43,124.95,13.85,2.5,5.19,1,2.0,0.0,20.25,89.87,938.2,9.62,5.4,3.24,NASA POWER Daily API,90.62
20240328,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,2.82,5.0,15.19,4.5,11.01,1,2.0,0.0,20.76,89.81,938.9,8.12,8.26,2.56,NASA POWER Daily API,100.0
20240329,Guarulhos - SP,-23.455,-46.533,transporte,garoa,100.0,6.81,44.08,18.57,3.5,4.0,0,4.0,1.0,22.31,86.73,937.8,51.74,13.22,1.95,NASA POWER Daily API,87.4
20240330,Guarulhos - SP,-23.455,-46.533,campo,garoa,74.9,10.74,174.37,13.96,2.5,0.28,0,4.0,0.0,22.14,84.63,936.4,13.51,7.44,2.75,NASA POWER Daily API,58.49
20240331,Guarulhos - SP,-23.455,-46.533,campo,garoa,68.83,2.29,127.11,9.5,3.5,0.01,0,4.0,0.0,21.66,77.16,935.8,38.19,10.46,1.78,NASA POWER Daily API,44.16
20240401,Guarulhos - SP,-23.455,-46.533,proximidade_agua,garoa,74.88,8.04,137.24,3.07,2.5,0.06,0,4.0,2.0,21.12,82.06,935.0,7.83,2.42,2.49,NASA POWER Daily API,45.93
20240402,Guarulhos - SP,-23.455,-46.533,campo,garoa,63.52,13.75,196.01,12.05,4.5,0.02,0,4.0,0.0,23.45,76.23,933.5,2.64,4.56,1.93,NASA POWER Daily API,66.1
20240403,Guarulhos - SP,-23.455,-46.533,campo,sol,51.23,9.64,153.26,3.96,2.5,0.0,0,0.0,0.0,23.03,80.1,935.2,19.03,8.87,2.33,NASA POWER Daily API,37.55
20240404,Guarulhos - SP,-23.455,-46.533,proximidade_agua,garoa,40.36,5.3,27.89,9.55,3.5,0.01,0,4.0,2.0,23.77,79.44,936.2,21.01,4.61,2.38,NASA POWER Daily API,61.44
20240405,Guarulhos - SP,-23.455,-46.533,manutencao,garoa,31.15,8.7,102.82,5.4,2.5,0.03,0,4.0,3.0,23.03,76.38,936.4,4.58,3.51,2.38,NASA POWER Daily API,32.29
20240406,Guarulhos - SP,-23.455,-46.533,proximidade_agua,garoa,40.03,8.78,143.22,2.56,2.5,2.6,0,4.0,2.0,21.7,84.13,937.3,28.96,2.61,3.78,NASA POWER Daily API,37.86
20240407,Guarulhos - SP,-23.455,-46.533,campo,garoa,30.34,8.09,122.63,11.43,3.5,0.36,0,4.0,0.0,22.43,82.23,937.4,10.76,11.69,3.19,NASA POWER Daily API,41.33
20240408,Guarulhos - SP,-23.455,-46.533,campo,garoa,34.79,5.59,43.98,10.48,2.5,0.46,0,4.0,0.0,23.89,73.48,935.7,42.33,4.12,2.23,NASA POWER Daily API,50.73
20240409,Guarulhos - SP,-23.455,-46.533,manutencao,garoa,50.06,13.61,112.07,8.03,2.5,4.68,0,4.0,3.0,23.38,78.14,935.4,80.0,7.91,1.94,NASA POWER Daily API,50.89
20240410,Guarulhos - SP,-23.455,-46.533,campo,garoa,51.28,6.84,78.37,16.07,2.5,0.17,0,4.0,0.0,23.29,79.51,934.1,9.63,4.99,1.97,NASA POWER Daily API,53.49
20240411,Guarulhos - SP,-23.455,-46.533,campo,garoa,53.93,1.8,176.66,7.41,2.5,1.43,0,4.0,0.0,22.45,84.2,936.3,6.99,5.19,2.99,NASA POWER Daily API,35.72
20240412,Guarulhos - SP,-23.455,-46.533,campo,garoa,56.02,3.71,85.41,9.29,2.5,0.61,0,4.0,0.0,22.24,84.06,938.2,9.63,2.85,3.81,NASA POWER Daily API,41.17
20240413,Guarulhos - SP,-23.455,-46.533,manutencao,garoa,46.64,1.95,5.0,7.93,2.5,0.16,0,4.0,3.0,22.56,80.9,937.5,6.7,4.88,3.05,NASA POWER Daily API,58.55
20240414,Guarulhos - SP,-23.455,-46.533,proximidade_agua,garoa,55.28,4.44,20.38,2.92,2.5,1.33,0,4.0,2.0,22.14,84.71,936.5,24.11,3.91,1.81,NASA POWER Daily API,58.07
20240415,Guarulhos - SP,-23.455,-46.533,campo,garoa,46.09,5.33,72.59,9.81,2.5,2.92,0,4.0,0.0,22.88,81.71,936.8,5.5,8.82,2.34,NASA POWER Daily API,46.68
20240416,Guarulhos - SP,-23.455,-46.533,transporte,chuva,53.58,9.53,5.0,20.06,3.5,5.74,0,2.0,1.0,22.84,79.24,937.1,33.41,3.52,2.09,NASA POWER Daily API,95.74
20240417,Guarulhos - SP,-23.455,-46.533,campo,chuva,63.43,3.91,125.94,6.5,2.5,5.47,0,2.0,0.0,24.21,76.15,935.1,10.77,6.72,3.54,NASA POWER Daily API,48.07
20240418,Guarulhos - SP,-23.455,-46.533,campo,garoa,71.92,11.7,242.09,14.09,2.5,2.44,0,4.0,0.0,18.98,85.07,937.7,1.24,4.16,4.65,NASA POWER Daily API,72.74
20240419,Guarulhos - SP,-23.455,-46.533,manutencao,garoa,61.5,6.17,105.88,16.46,2.5,0.05,0,4.0,3.0,17.37,78.07,938.9,10.95,4.36,3.5,NASA POWER Daily API,52.4
20240420,Guarulhos - SP,-23.455,-46.533,campo,garoa,62.03,9.43,219.05,19.4,2.5,0.08,0,4.0,0.0,19.34,80.9,939.3,12.94,2.63,3.07,NASA POWER Daily API,59.66
20240421,Guarulhos - SP,-23.455,-46.533,campo,garoa,63.4,10.77,137.99,15.98,2.5,0.09,0,4.0,0.0,20.17,77.6,937.9,23.11,5.81,2.17,NASA POWER Daily API,57.31
20240422,Guarulhos - SP,-23.455,-46.533,campo,garoa,50.47,0.0,152.55,0.0,2.5,0.02,0,4.0,0.0,21.16,64.86,935.8,11.35,6.44,2.14,NASA POWER Daily API,22.23
20240423,Guarulhos - SP,-23.455,-46.533,campo,sol,32.45,12.39,78.86,22.09,3.5,0.0,0,0.0,0.0,22.94,55.67,935.5,34.33,5.32,2.54,NASA POWER Daily API,62.94
20240424,Guarulhos - SP,-23.455,-46.533,campo,garoa,31.96,7.89,5.0,10.82,2.5,0.22,0,4.0,0.0,23.42,66.21,935.8,17.78,5.05,3.61,NASA POWER Daily API,64.18
20240425,Guarulhos - SP,-23.455,-46.533,campo,garoa,36.45,8.71,172.43,7.43,3.5,0.58,0,4.0,0.0,22.67,82.9,937.4,4.99,2.27,3.31,NASA POWER Daily API,39.03
20240426,Guarulhos - SP,-23.455,-46.533,campo,garoa,37.08,3.1,139.51,15.3,3.5,0.08,0,4.0,0.0,22.91,78.63,936.9,1.95,5.94,2.76,NASA POWER Daily API,48.72
20240427,Guarulhos - SP,-23.455,-46.533,transporte,sol,32.41,7.03,78.96,22.92,3.5,0.0,0,0.0,1.0,24.44,66.32,934.6,25.77,4.66,2.85,NASA POWER Daily API,58.37
20240428,Guarulhos - SP,-23.455,-46.533,transporte,garoa,33.53,8.39,131.11,22.7,3.5,0.03,0,4.0,1.0,24.28,67.2,934.3,4.98,7.02,4.13,NASA POWER Daily API,56.6
20240429,Guarulhos - SP,-23.455,-46.533,campo,garoa,33.61,10.14,88.14,15.4,2.5,0.06,0,4.0,0.0,24.38,72.25,936.0,2.29,10.95,2.02,NASA POWER Daily API,53.65
20240430,Guarulhos - SP,-23.455,-46.533,transporte,sol,17.5,4.66,33.21,19.23,2.5,0.0,0,0.0,1.0,24.81,57.79,935.7,5.37,6.96,2.58,NASA POWER Daily API,58.29
20240501,Guarulhos - SP,-23.455,-46.533,transporte,sol,25.57,9.31,172.37,9.51,3.5,0.0,0,0.0,1.0,24.8,54.35,934.4,7.65,4.94,2.95,NASA POWER Daily API,38.65
20240502,Guarulhos - SP,-23.455,-46.533,campo,sol,29.24,8.65,77.47,14.18,2.5,0.0,0,0.0,0.0,24.62,54.85,932.2,7.38,8.52,5.0,NASA POWER Daily API,46.66
20240503,Guarulhos - SP,-23.455,-46.533,campo,garoa,31.09,10.17,38.84,16.38,2.5,0.01,0,4.0,0.0,24.36,64.03,934.1,8.14,3.26,2.38,NASA POWER Daily API,63.03
20240504,Guarulhos - SP,-23.455,-46.533,campo,sol,22.53,9.74,38.77,13.97,3.5,0.0,0,0.0,0.0,24.55,59.68,936.7,8.2,19.01,2.51,NASA POWER Daily API,59.29
20240505,Guarulhos - SP,-23.455,-46.533,campo,garoa,32.41,8.48,154.95,12.53,2.5,0.01,0,4.0,0.0,24.11,59.32,938.4,6.39,11.02,2.34,NASA POWER Daily API,41.19
20240506,Guarulhos - SP,-23.455,-46.533,transporte,garoa,28.18,5.94,114.88,14.17,4.5,0.01,0,4.0,1.0,24.37,53.49,936.6,6.13,2.68,2.25,NASA POWER Daily API,43.73
20240507,Guarulhos - SP,-23.455,-46.533,campo,garoa,16.33,5.08,139.28,17.93,2.5,0.04,0,4.0,0.0,24.36,57.5,935.5,4.23,10.91,2.67,NASA POWER Daily API,39.77
20240508,Guarulhos - SP,-23.455,-46.533,campo,garoa,23.28,9.38,125.26,12.5,3.5,0.01,0,4.0,0.0,24.76,56.91,936.0,1.7,7.09,3.96,NASA POWER Daily API,47.67
20240509,Guarulhos - SP,-23.455,-46.533,campo,garoa,24.44,8.03,187.57,12.79,4.5,0.18,0,4.0,0.0,23.93,63.91,937.6,33.12,6.5,3.98,NASA POWER Daily API,43.16
